yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   65,   3.0610,  11.6098,  17.1698,  -2.9040,  59.8781,   3.4280,   6.3978,   4.0565,  47.0494, 6.6018e+03,   796,  0.81328 
   66,   3.0650,  30.2457,  22.8347, -22.7423,  26.8250,  41.5647,   5.4959,  41.5886,   7.1271, 7.5535e+03,   796,  1.37125 
   67,   3.0690,  10.3979,  13.1153,  -0.3435,  33.3425,   9.1670,   9.7595,  10.3139, 397.3070, 7.3699e+03,   796,  0.72698 
   68,   3.0730,   8.4789,  14.5866,   0.1752, 232874.7585,   1.1534,   3.4800,   0.4965, 1313666095.1911, 6.5596e+03,   796,  0.88960 
   69,   3.0770,  45.0411,  25.6506, -35.1585,  31.2530,  42.4321,   3.8431,  42.4700,   4.9669, 7.8777e+03,   796,  0.86057 
   70,   3.0810,  10.4254,  15.0462,  -0.7397,  58.4471,   2.2609,   5.2033,   2.6478, 123.7061, 7.7501e+03,   796,  0.77804 
   71,   3.0850,  13.0730,   7.9848,  -0.3463, 339330.0534,   2.4492,   1.6425,   0.3316, 1035168569.6529, 6.7732e+03,   796,  0.81628 
   72,   3.0890,   9.0615,  20.0081,  -1.5693,  72.1996,   3.7353,   9.9105,   4.3495, 121.2605, 7.5707e+03,   796,  0.83529 
   73,   3.0930,  10.4769,  19.0703,  -2.2556,  53.0903,   6.9464,  10.9565,   7.7042,  82.9217, 7.7185e+03,   796,  1.08073 
   74,   3.0970,   7.9621,  16.8370,  -0.1025,  89.4314,   1.1230,   4.2250,   0.8536, 527.5378, 6.9223e+03,   796,  0.98091 
   75,   3.1010,  10.8457,  13.5980,  -0.2135, 655307.5417,   1.2297,   2.5411,   0.4599, 8018749651.1661, 6.4168e+03,   796,  0.95616 
   76,   3.1050,  33.1808,  26.4545, -23.8719,  34.3961, 428.9134,  49.0587, 429.7449,  76.4639, 7.6119e+03,   796,  0.77668 
   77,   3.1090,  15.3068,  19.4188,  -3.9285,  30.6322,  77.1583,  27.2310,  78.1141, 124.9397, 6.7069e+03,   796,  0.84499 
   78,   3.1130,  10.8072,   6.7077,   4.8752,  23.5594,   3.8440,   4.2224,   4.3745,  10.6038, 7.0315e+03,   796,  1.25800 
   79,   3.1170,  13.9811,  14.1539,  -1.4683,  67.8171,   1.6923,   3.3237,   2.0447,  67.3596, 5.8676e+03,   796,  0.93479 
   80,   3.1210,  13.1077,  16.6253,  -1.8416,  83.1242,   1.6940,   4.0086,   2.0710,  72.8380, 6.0967e+03,   796,  0.99514 
   81,   3.1250,  25.7026,  22.2921, -13.7758,  32.1088, 148.2237,  27.0692, 149.0908,  58.1900, 6.6707e+03,   796,  1.07241 
   82,   3.1290,  33.0691,  19.7387, -20.0931,  25.1024, 581.0987,  45.8276, 582.2217,  81.7075, 7.5252e+03,   796,  0.74492 
   83,   3.1330,  81.5063,  25.6876, -69.5974,  28.5207, 6546.2342, 111.6855, 6547.1231, 136.2566, 7.1791e+03,   796,  0.67754 
   84,   3.1370,  21.7750,  23.9070, -12.2246,  30.8203, 467.1897,  71.4146, 468.0970, 140.5465, 7.5125e+03,   796,  1.09607 
