yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   65,   3.0610,  11.6099,  17.1707,  -2.9044,  59.8751,   3.4300,   6.4040,   4.0580,  47.0400, 6.6018e+03,   796,  0.81328 
   66,   3.0650,  26.0070,  22.4993, -18.5010,  27.2684, 1097.0000,  98.3800, 1098.0000, 146.7000, 7.5537e+03,   796,  1.37128 
   67,   3.0690,   9.8931,  12.4464,   0.3326,  12.7929,   0.0000,   0.0000,   0.0000,   0.0000, 7.3702e+03,   796,  0.72701 
   68,   3.0730,   0.0000,   8.0046,   3.8144,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 7.3702e+03,   796,  0.99955 
   69,   3.0770,  40.1601,  25.3122, -30.2720,  31.7135, 684.2000,  52.7900, 685.1000,  76.1300, 7.8779e+03,   796,  0.86059 
   70,   3.0810,  10.4626,  15.2950,  -0.8390,  55.4615,   3.2670,   6.7550,   3.9570, 148.8000, 7.7501e+03,   796,  0.77804 
   71,   3.0850,  13.0115,   8.0159,  -0.3427, 1912.5900,   2.4360,   1.6660,   0.3457,   3.5100, 6.7737e+03,   796,  0.81633 
   72,   3.0890,   9.0839,  20.0964,  -1.6017,  71.4505,   3.8680,  10.0800,   4.4880, 119.6000, 7.5707e+03,   796,  0.83529 
   73,   3.0930,  10.6508,  19.3794,  -2.4607,  51.2547,   8.1410,  11.7800,   8.9140,  80.4400, 7.7185e+03,   796,  1.08073 
   74,   3.0970,   0.0000,  -6.4251,   3.5833,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 7.7185e+03,   796,  1.09373 
   75,   3.1010,   0.0000,  26.5017,  -2.5041,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 7.7185e+03,   796,  1.15013 
   76,   3.1050,  28.1131,  25.7508, -18.7900,  35.5184, 233.2000,  38.5900, 234.1000,  66.0600, 7.6121e+03,   796,  0.77669 
   77,   3.1090,  19.8252,  20.5489,  -8.4870,  27.1458, 344.6000,  55.6900, 345.6000, 142.3000, 6.7068e+03,   796,  0.84498 
   78,   3.1130,  10.8595,   6.8112,   4.7616,  23.7696,   4.4030,   5.2140,   5.8450,  14.7500, 7.0316e+03,   796,  1.25800 
   79,   3.1170,  13.8623,  14.3802,  -1.4796,  65.9326,   1.8020,   3.4950,   2.2030,  67.7100, 5.8681e+03,   796,  0.93487 
   80,   3.1210,  13.1045,  16.6301,  -1.8411,  83.1712,   1.6940,   4.0120,   2.0710,  72.9300, 6.0967e+03,   796,  0.99514 
