 53,   3.013,    7.684,   23.096,   -7.914,    0.381,    0.809,    2.892, 35801.704,  244.403,    0.000,    0.000,    0.500,    0.499,   0.9979
 54,   3.017,    8.866,   26.970,   -3.619,   75.351,    7.133,   15.407,    7.543,   79.054,    0.112,    0.051,    0.310,    0.170,   0.8125
 55,   3.021,    9.699,   15.933,   -1.858,  114.239,    1.259,    4.336,    1.390,   91.571,    0.000,    0.002,    0.097,    0.111,   0.7493
 56,   3.025,   17.105,   36.821,  -11.892,   52.278,  202.428,   82.136,  202.919,  150.702,    0.465,    0.321,    0.476,    0.359,   0.9291
 57,   3.029,   15.395,   29.648,   -9.076,   52.341,   41.123,   26.509,   41.614,   64.126,    0.349,    0.134,    0.410,    0.204,   0.6847
 58,   3.033,    7.677,   14.104,   -4.174,    5.288,   15.956,   11.851,   13.023,   17.940,    0.310,    0.121,    0.370,    0.380,   1.4094
 59,   3.037,    9.633,   29.620,   -4.172,   72.758,   13.069,   23.188,   13.556,  103.935,    0.226,    0.106,    0.375,    0.237,   1.2876
 60,   3.041,   14.112,   39.221,   -8.900,   62.931,   94.708,   67.644,   95.172,  155.423,    0.438,    0.276,    0.461,    0.337,   1.0626
 61,   3.045,    8.022,   20.544,   -1.250,   53.828,    7.295,   13.638,    7.797,  146.982,    0.138,    0.075,    0.434,    0.352,   1.1130
 62,   3.049,    8.189,   11.884,    1.385,   65.776,    1.532,    4.489,    1.673,   61.646,    0.000,    0.012,    0.201,    0.145,   1.0190
 63,   3.053,    2.794,   20.049,    3.690,   35.269,   36.831,   93.863,   37.470,   91.089,    0.468,    0.412,    0.459,    0.344,   1.0689
 64,   3.057,    8.991,   18.738,   -1.086,   48.524,    7.750,   11.938,    8.314,  158.125,    0.126,    0.068,    0.446,    0.375,   1.1831
 65,   3.061,   11.604,   15.931,   -2.420,   65.999,    2.314,    4.686,    2.720,   48.629,    0.000,    0.003,    0.185,    0.094,   0.8294
 66,   3.065,   22.552,   17.867,  -13.072,   23.505,  382.839,   46.059,  383.736,   88.222,    0.475,    0.344,    0.486,    0.391,   1.4226
 67,   3.069,   10.480,   13.047,   -0.400,   47.447,    3.107,    5.311,    3.654,  244.400,    0.004,    0.016,    0.455,    0.420,   0.7492
 68,   3.073,    7.739,   15.736,    0.265,   29.415,   28.683,   24.298,   29.463,  905.440,    0.389,    0.254,    0.496,    0.486,   0.8998
 69,   3.077,   16.063,   26.544,   -9.019,   42.544,   74.725,   33.947,   75.341,   77.708,    0.411,    0.214,    0.450,    0.286,   0.9037
 70,   3.081,    9.547,   18.280,   -1.245,   49.654,    7.178,   11.025,    7.778,  138.671,    0.098,    0.059,    0.434,    0.355,   0.7962
 71,   3.085,    9.390,   11.078,   -0.490,  302.422,    1.231,    2.489,    0.520,  938.703,    0.000,    0.001,    0.172,    0.369,   0.8209
 72,   3.089,    9.599,   22.202,   -3.021,   71.744,    5.095,   11.015,    5.592,   74.597,    0.041,    0.034,    0.289,    0.168,   0.8690
 73,   3.093,   10.850,   17.973,   -2.077,   53.188,    5.589,    8.483,    6.161,   76.949,    0.038,    0.028,    0.363,    0.240,   1.0425
 74,   3.097,   11.120,    9.048,    1.144,   43.865,    1.971,    3.173,    2.182,   56.307,    0.000,    0.009,    0.294,    0.214,   1.0103
 75,   3.101,    7.283,    8.711,    4.287,   14.454,   80.338,   31.603,   82.124,   61.708,    0.462,    0.387,    0.478,    0.404,   0.9931
 76,   3.105,   17.633,   22.690,   -8.158,   41.883,   31.798,   15.832,   32.422,   46.328,    0.284,    0.084,    0.397,    0.181,   0.7594
 77,   3.109,   11.033,   19.161,   -0.683,   67.562,    3.555,    6.915,    4.018,  234.589,    0.006,    0.010,    0.430,    0.382,   0.8302
 78,   3.113,   12.164,    9.611,    1.979,   31.342,    4.415,    4.481,    5.254,   41.714,    0.010,    0.027,    0.348,    0.222,   1.2813
 79,   3.117,   17.117,   20.245,   -6.401,   39.069,   22.329,   11.403,   22.913,   41.245,    0.218,    0.049,    0.386,    0.171,   0.9668
 80,   3.121,   13.993,   13.419,   -0.957,  140.824,    1.042,    2.112,    0.850,  172.952,    0.000,    0.000,    0.133,    0.205,   0.9972
 81,   3.125,   16.682,   20.129,   -4.986,   41.382,   17.966,   10.596,   18.570,   49.743,    0.175,    0.040,    0.390,    0.200,   1.0748
 82,   3.129,   19.128,   20.099,   -7.694,   32.034,   71.825,   21.104,   72.551,   63.968,    0.391,    0.170,    0.456,    0.303,   0.7551
 83,   3.133,   31.290,   24.451,  -20.174,   32.429,  314.427,   38.083,  315.082,   67.156,    0.459,    0.255,    0.473,    0.309,   0.6466
 84,   3.137,   13.984,   25.737,   -5.646,   39.614,   92.736,   42.461,   93.352,  130.851,    0.437,    0.267,    0.475,    0.376,   1.1073
 85,   3.141,   12.697,   18.582,   -1.997,   89.616,    1.995,    4.569,    2.348,   83.427,    0.000,    0.001,    0.195,    0.143,   1.0977
 86,   3.145,   20.934,   28.287,  -10.582,   41.032,  141.832,   39.860,  142.398,   96.309,    0.439,    0.235,    0.469,    0.330,   1.2544
 87,   3.149,   18.740,   23.914,   -7.299,   41.165,   44.411,   18.714,   45.008,   63.061,    0.331,    0.106,    0.433,    0.252,   0.8306
 88,   3.153,   15.664,   22.138,   -3.850,   76.759,    4.180,    6.000,    4.638,   55.930,    0.002,    0.002,    0.200,    0.092,   1.0562
 89,   3.157,   16.800,   21.138,   -5.299,   91.702,    2.545,    4.206,    2.930,   37.964,    0.000,    0.000,    0.047,    0.018,   1.0157
 90,   3.161,   18.070,   24.511,   -7.569,   56.534,   14.201,   10.895,   14.773,   42.779,    0.107,    0.023,    0.299,    0.100,   0.9098
 91,   3.165,   19.564,   21.409,   -6.969,   59.469,    6.476,    5.541,    6.965,   28.041,    0.006,    0.002,    0.159,    0.028,   0.7695
 92,   3.169,   19.526,   15.112,  -11.591,    4.783,    9.734,    3.533,    7.313,    4.788,    0.034,    0.001,    0.067,    0.159,   1.0678
 93,   3.173,   14.421,   23.235,   -2.342,   66.372,    6.721,    8.485,    7.213,  101.460,    0.027,    0.010,    0.368,    0.252,   1.0420
 94,   3.177,   19.135,   26.244,   -7.017,   32.811,  705.755,  115.821,  706.459,  350.693,    0.489,    0.407,    0.496,    0.461,   1.3711
 95,   3.181,   22.876,   30.748,  -10.435,   58.391,   29.917,   15.353,   30.382,   51.825,    0.219,    0.034,    0.361,    0.133,   0.6601
 96,   3.185,   15.728,   23.464,   -2.042,  200.121,    1.514,    4.186,    1.797,  270.327,    0.000,    0.000,    0.131,    0.226,   1.1328
 97,   3.189,   27.467,   26.551,  -12.974,   44.492,   52.777,   15.587,   53.334,   43.709,    0.296,    0.055,    0.400,    0.155,   0.8946
 98,   3.193,   20.414,   20.297,   -4.052,   77.991,    3.243,    3.853,    3.691,   46.475,    0.000,    0.000,    0.138,    0.057,   0.9549
 99,   3.197,   20.058,   15.252,   -1.498,  270.987,    1.028,    1.683,    0.790,  346.705,    0.000,    0.000,    0.041,    0.214,   1.0275
100,   3.201,   62.273,   27.955,  -43.751,   35.817,  493.385,   29.540,  494.014,   47.596,    0.448,    0.171,    0.463,    0.222,   1.0192
101,   3.205,   49.929,   28.004,  -29.866,   44.311,   74.478,   11.035,   75.015,   23.818,    0.247,    0.014,    0.340,    0.043,   0.6374
102,   3.209,   36.438,   24.408,  -14.224,   51.951,   17.313,    5.762,   17.858,   22.677,    0.029,    0.001,    0.210,    0.021,   0.6856
103,   3.213,   33.779,   20.425,   -7.243,   69.436,    4.066,    2.551,    4.538,   25.185,    0.000,    0.000,    0.065,    0.010,   1.7470
104,   3.217,   41.515,   22.249,  -12.795,   77.905,    4.657,    2.556,    5.173,   19.278,    0.000,    0.000,    0.016,    0.001,   1.3506
105,   3.221,   37.076,   20.812,   -9.441,   91.215,    2.923,    2.198,    3.375,   24.524,    0.000,    0.000,    0.009,    0.002,   1.3769
106,   3.225,   49.341,   27.771,  -27.047,   46.594,   53.784,    9.203,   54.327,   22.541,    0.178,    0.006,    0.304,    0.031,   0.6320
107,   3.229,   25.344,   18.380,   -4.991,   91.048,    1.915,    2.236,    2.259,   33.326,    0.000,    0.000,    0.025,    0.010,   0.9469
108,   3.233,   45.336,   28.997,  -27.520,   43.238,  115.876,   16.651,  116.425,   34.291,    0.343,    0.052,    0.403,    0.109,   0.9679
109,   3.237,    9.562,   10.548,    5.594,   29.639,    7.055,    7.586,    8.012,   18.723,    0.095,    0.090,    0.238,    0.067,   1.3310
110,   3.241,   20.468,   15.337,   -3.358,    9.340,   91.187,   14.976,   89.413,   79.100,    0.408,    0.154,    0.484,    0.451,   1.1364
111,   3.245,   19.595,   21.618,   -3.173,   67.642,    5.108,    5.133,    5.593,   64.233,    0.002,    0.001,    0.280,    0.147,   1.6827
112,   3.249,   34.791,   40.067,  -22.978,   55.543,  256.792,   51.135,  257.242,   98.789,    0.444,    0.213,    0.463,    0.281,   0.9502
113,   3.253,   30.558,   32.272,  -18.235,   50.482,   92.631,   24.546,   93.156,   54.743,    0.366,    0.101,    0.419,    0.177,   0.8164
114,   3.257,   33.487,   32.721,  -20.358,   52.001,   80.935,   20.576,   81.428,   45.804,    0.334,    0.066,    0.397,    0.131,   0.5919
115,   3.261,   29.140,   33.608,  -17.401,   44.876,  317.687,   56.821,  318.199,  113.595,    0.462,    0.272,    0.477,    0.341,   1.1368
116,   3.265,   22.264,   15.076,  -17.217,    7.256,   29.346,    6.189,   27.326,    6.640,    0.220,    0.017,    0.259,    0.139,   1.0250
117,   3.269,   21.882,   36.031,  -10.799,   51.029,  208.184,   64.312,  208.694,  165.012,    0.456,    0.282,    0.478,    0.374,   1.4603
118,   3.273,   16.673,   32.309,   -4.807,   72.644,   16.816,   16.075,   17.247,  103.814,    0.161,    0.034,    0.386,    0.238,   0.9982
119,   3.277,   34.034,   38.466,  -23.131,   52.859,  283.663,   54.153,  284.154,   99.967,    0.450,    0.234,    0.466,    0.293,   0.7403
120,   3.281,   37.555,   40.058,  -26.503,   55.444,  282.919,   51.919,  283.409,   93.743,    0.445,    0.217,    0.461,    0.272,   1.4170
121,   3.285,   24.348,   33.904,  -13.288,   49.803,  143.228,   42.033,  143.730,   98.887,    0.430,    0.207,    0.462,    0.302,   0.8794
122,   3.289,   47.633,   42.936,  -37.751,   52.779, 1059.556,  101.737, 1060.018,  149.941,    0.481,    0.331,    0.485,    0.357,   0.6636
123,   3.293,   23.182,   38.769,  -13.425,   60.207,  118.377,   47.228,  118.866,  114.152,    0.419,    0.203,    0.453,    0.293,   0.9718
124,   3.297,   30.907,   40.915,  -20.165,   62.587,  143.127,   43.128,  143.620,   92.794,    0.411,    0.171,    0.442,    0.245,   0.8972
125,   3.301,   21.721,   18.099,   -8.001,   17.996,      nan,      nan,      nan,      nan,      nan,      nan,      nan,      nan,   1.5089
126,   3.305,   22.102,   39.494,  -10.846,   67.311,   66.735,   34.805,   67.175,  109.345,    0.365,    0.131,    0.433,    0.264,   0.8084
127,   3.309,   35.772,   41.990,  -24.881,   58.262,  285.529,   57.763,  285.997,  107.254,    0.448,    0.229,    0.464,    0.288,   1.1522
128,   3.313,   29.369,   39.528,  -18.149,   61.105,  126.702,   40.086,  127.195,   90.973,    0.405,    0.162,    0.441,    0.246,   1.1678
129,   3.317,   29.736,   40.902,  -16.941,   64.500,  119.108,   40.129,  119.601,  101.821,    0.397,    0.155,    0.441,    0.258,   1.3070
130,   3.321,   22.684,   36.618,   -9.670,   84.360,   22.088,   17.341,   22.580,   83.817,    0.153,    0.029,    0.329,    0.157,   1.5951
131,   3.325,   26.710,   37.510,  -12.850,   75.622,   30.945,   17.308,   31.385,   64.628,    0.192,    0.026,    0.336,    0.125,   0.9616
132,   3.329,   27.256,   34.770,  -11.860,   69.551,   29.427,   15.121,   29.889,   59.571,    0.176,    0.021,    0.340,    0.125,   0.9823
133,   3.333,   24.009,   31.043,   -7.043,   87.754,    8.719,    7.572,    9.135,   60.567,    0.010,    0.001,    0.217,    0.082,   0.9194
134,   3.337,   33.583,   36.924,  -16.523,   75.619,   30.920,   13.943,   31.396,   51.367,    0.141,    0.012,    0.294,    0.079,   1.2448
135,   3.341,   37.746,   33.694,  -17.237,   60.861,   47.307,   14.348,   47.831,   48.041,    0.209,    0.020,    0.354,    0.108,   1.0382
136,   3.345,   40.585,   33.099,  -15.482,   74.885,   17.939,    7.216,   18.389,   35.954,    0.023,    0.000,    0.197,    0.030,   1.1663
