yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   97,   3.1890,  21.2602,  23.8505,  -6.6321,  55.2207,  12.4976,   8.0496,  13.0234,  42.0262, 6.8246e+03,   803,  0.89783 
   98,   3.1930,  20.3322,  20.2034,  -3.9559,  79.2783,   3.1073,   3.7822,   3.5491,  47.4460, 7.3490e+03,   803,  0.96021 
   99,   3.1970,  20.7871,  17.3233,  -2.8965, 104.4357,   1.5452,   2.4419,   1.8077,  61.8368, 7.6705e+03,   803,  1.00487 
  100,   3.2010,  30.5345,  23.4211, -11.7917,  46.4109,  23.6323,   8.0108,  24.2341,  29.7384, 7.7841e+03,   803,  1.02573 
  101,   3.2050,  37.3286,  25.3961, -17.1235,  51.6407,  20.3245,   6.2791,  20.8464,  20.6119, 6.5123e+03,   803,  0.64058 
  102,   3.2090,  33.5121,  23.5239, -11.1686,  57.7088,  10.4659,   4.6308,  10.9918,  23.6160, 7.0505e+03,   803,  0.68848 
  104,   3.2170,  41.0208,  21.9799, -12.2370,  80.1761,   4.2480,   2.4546,   4.7539,  19.8182, 9.0106e+03,   803,  1.35802 
  105,   3.2210,  37.4867,  21.0590,  -9.9045,  88.0731,   3.1894,   2.2796,   3.6568,  23.4382, 8.9981e+03,   803,  1.38454 
  106,   3.2250,  37.7933,  24.9896, -15.2836,  55.2534,  15.0830,   5.2418,  15.6059,  20.7562, 6.8244e+03,   803,  0.63594 
  107,   3.2290,  25.6588,  18.7205,  -5.3881,  85.6857,   2.1793,   2.3674,   2.5539,  30.6787, 6.8441e+03,   803,  0.94129 
  108,   3.2330,  32.9821,  26.3383, -15.0460,  49.9275,  28.5161,   9.0094,  29.0526,  28.5470, 6.8121e+03,   803,  0.97344 
  109,   3.2370,  24.1670,  24.0176,  -9.2840,  34.7874, 142.3742,  29.7673, 143.0301,  92.0421, 7.5434e+03,   803,  1.29199 
  110,   3.2410,  27.4732,  23.3056, -10.8089,  37.1798,  71.4768,  16.7560,  72.1257,  53.1139, 7.6232e+03,   803,  1.11528 
  112,   3.2490,  25.9286,  37.5761, -14.0896,  61.1888,  78.4458,  30.4634,  78.8917,  81.1488, 5.9240e+03,   803,  0.94149 
  113,   3.2530,  27.1054,  25.9596, -14.1351,  41.0822,  75.3801,  19.2870,  75.9703,  46.9054, 7.1965e+03,   803,  0.83453 
  114,   3.2570,  24.7217,  29.5632, -11.5126,  61.3739,  21.0931,  11.3539,  21.5730,  39.9963, 6.4070e+03,   803,  0.59547 
  116,   3.2650,  20.4717,  24.4185,  -9.8741,  28.7231, 1621.2955, 165.2495, 1621.9687, 367.6559, 6.9317e+03,   803,  1.04809 
  118,   3.2730,  16.0643,  31.4625,  -4.1552,  76.9701,  12.6605,  13.8767,  13.0858, 107.6726, 5.7573e+03,   803,  0.99898 
  119,   3.2770,  24.3184,  34.2928, -13.1995,  56.2538,  72.8178,  28.4961,  73.3129,  74.0949, 6.8190e+03,   803,  0.74508 
  120,   3.2810,  25.8422,  35.9687, -14.6410,  61.2074,  64.0514,  26.4982,  64.5396,  69.4257, 7.0069e+03,   803,  1.40074 
  121,   3.2850,  18.0822,  31.3255,  -7.0005,  58.3789,  34.8634,  22.1692,  35.3529,  87.3847, 6.5908e+03,   803,  0.88452 
  122,   3.2890,  23.6152,  37.6150, -13.6452,  61.5219,  70.0357,  30.2175,  70.4435,  75.9578, 6.2713e+03,   803,  0.66683 
  123,   3.2930,  17.8493,  35.9767,  -8.0697,  68.8162,  38.1273,  28.4447,  38.6078, 104.7379, 7.1530e+03,   803,  0.97212 
  124,   3.2970,  22.9840,  37.4472, -12.2163,  72.4354,  39.4262,  23.9477,  39.9111,  77.3514, 7.5239e+03,   803,  0.88268 
  125,   3.3010,  23.8402,  29.4638, -10.6160,  44.6661, 118.9948,  34.5041, 119.6142,  98.3330, 8.8849e+03,   803,  1.48608 
  126,   3.3050,  18.3848,  36.7041,  -7.0674,  76.4747,  26.2857,  22.1369,  26.7185, 106.0328, 6.1046e+03,   803,  0.81295 
  127,   3.3090,  21.8323,  24.4993, -10.5508,  31.9881, 373.7014,  61.0380, 374.3612, 142.5018, 7.2598e+03,   803,  1.26598 
  128,   3.3130,  22.9053,  37.2417, -11.6867,  68.8109,  46.7366,  26.2235,  47.2222,  83.9057, 7.3720e+03,   803,  1.17432 
  129,   3.3170,  27.2722,  39.1984, -14.3614,  65.4843,  81.6608,  32.9361,  82.1554,  94.2418, 7.6002e+03,   803,  1.30746 
  131,   3.3250,  20.9230,  33.1518,  -6.9306, 100.7648,   8.4464,   9.3883,   8.8625,  76.4600, 6.3107e+03,   803,  0.96657 
  132,   3.3290,  23.2623,  32.1111,  -7.7731,  84.3520,  11.4998,   9.6287,  11.9436,  63.5312, 6.5810e+03,   803,  0.98814 
  133,   3.3330,  33.0471,  31.5190, -15.5647,  53.4167,  52.3909,  15.1538,  52.8656,  45.3429, 5.9275e+03,   803,  0.92203 
  134,   3.3370,  30.1206,  35.1915, -13.0054,  83.2526,  18.2780,  10.9235,  18.7468,  52.4591, 7.3698e+03,   803,  1.24603 
  135,   3.3410,  35.8410,  32.6985, -15.2228,  62.1496,  36.6686,  12.5808,  37.1920,  46.8939, 7.8824e+03,   803,  1.01220 
  136,   3.3450,  39.2428,  32.2024, -14.0180,  76.8095,  14.7912,   6.5057,  15.2398,  36.0697, 6.4163e+03,   803,  1.16883 
  137,   3.3490,  48.6964,  30.7472, -19.5322,  59.3553,  30.6118,   7.6000,  31.1191,  29.6093, 7.1038e+03,   803,  1.44704 
  138,   3.3530,  45.5596,  28.5949, -12.0839,  76.2629,   9.3967,   3.8453,   9.8458,  30.0471, 6.3372e+03,   803,  0.91581 
  139,   3.3570,  48.9655,  26.1050,  -9.3910,  82.9834,   5.8818,   2.6341,   6.3367,  32.4242, 6.9375e+03,   803,  1.00341 
  142,   3.3690,  56.9872,  28.3075, -20.7050,  57.3201,  26.0780,   5.6663,  26.6551,  24.5105, 8.7991e+03,   803,  1.07502 
  144,   3.3770,  25.9337,  36.5044, -15.9848,  61.0476,  64.6230,  25.9842,  65.0645,  61.9095, 5.7519e+03,   803,  0.94208 
  145,   3.3810,  -0.5133,  34.1372,  -1.2577,  73.7097,  21.7966, 660.9787,  22.2498, 496.3116, 6.4838e+03,   803,  1.08052 
  146,   3.3850, -12.4093,  18.3771,  -0.9197,  91.0761,   2.0026,   4.7751,   2.3614, 189.1972, 7.4910e+03,   803,  0.91619 
  147,   3.3890, -24.2192,  24.5114,   4.0985,  72.2060,   6.7090,   5.3929,   7.1983,  66.1223, 7.3040e+03,   803,  1.39733 
  149,   3.3970, -45.6361,  23.0176,  11.4075,  58.5554,   9.7607,   3.3004,  10.3132,  22.9040, 7.8600e+03,   803,  0.73036 
  150,   3.4010, -47.5917,  23.0098,  10.7517,  73.5348,   4.6978,   2.0561,   5.1292,  19.6713, 5.8583e+03,   803,  0.85111 
  151,   3.4050, -40.1282,  20.2308,   9.6699,  79.9802,   3.3711,   2.0964,   3.8538,  21.4301, 8.8717e+03,   803,  1.29810 
  152,   3.4090, -36.3810,  22.1055,   6.6579,  86.9246,   3.1879,   2.2497,   3.6035,  32.4038, 6.6252e+03,   803,  1.16140 
  153,   3.4130, -37.5250,  23.6302,   9.7809,  69.1413,   6.4416,   3.2522,   6.9267,  25.0847, 6.9671e+03,   803,  0.72204 
  154,   3.4170, -35.4634,  20.8964,   7.8912,  88.1487,   2.8864,   2.1936,   3.3154,  26.8487, 7.7489e+03,   803,  0.85113 
  155,   3.4210, -44.0247,  25.3718,  16.5238,  56.9224,  15.5773,   4.8066,  16.1321,  20.9124, 7.8724e+03,   803,  0.91778 
  156,   3.4250, -40.2738,  22.8637,  11.3061,  68.7064,   6.3338,   3.0293,   6.8570,  21.8019, 8.1070e+03,   803,  0.89708 
  157,   3.4290, -44.2131,  23.9173,  14.5855,  54.1492,  14.3342,   4.2925,  14.8966,  20.8287, 7.6952e+03,   803,  0.77633 
  158,   3.4330, -48.5601,  26.7320,  19.1776,  54.0092,  21.7578,   5.3040,  22.2715,  20.5479, 6.6052e+03,   803,  0.90693 
  159,   3.4370, -36.6049,  24.3626,   8.0241,  86.7067,   4.4647,   2.9344,   4.9190,  34.0803, 7.3517e+03,   803,  1.11787 
  160,   3.4410, -44.8092,  27.4349,  16.9552,  60.0090,  17.8365,   5.4766,  18.3688,  24.0049, 7.7361e+03,   803,  1.05747 
  161,   3.4450, -40.1927,  26.2360,  12.2375,  81.2376,   6.9113,   3.6695,   7.4177,  27.7203, 8.4565e+03,   803,  0.90048 
  162,   3.4490, -48.4883,  27.4958,  18.5855,  57.9354,  19.0797,   5.1034,  19.5827,  21.3832, 6.6760e+03,   803,  0.64869 
  163,   3.4530, -44.5707,  28.1989,  16.0661,  51.9335,  32.5123,   7.5765,  33.0119,  30.4552, 6.2077e+03,   803,  1.20364 
  164,   3.4570, -44.7496,  26.7930,  15.8794,  52.6046,  21.4028,   5.3893,  21.8559,  22.7186, 5.0572e+03,   803,  0.63304 
  165,   3.4610, -32.8178,  24.2035,   5.4438,  94.4767,   3.2544,   2.6098,   3.6332,  44.4946, 5.5405e+03,   803,  1.03328 
  166,   3.4650, -38.0386,  25.4003,   8.5732,  89.4446,   4.5198,   2.8736,   4.9485,  33.1859, 6.5831e+03,   803,  0.99512 
  168,   3.4730, -41.1560,  24.4518,   8.8750,  87.1927,   4.7550,   2.7892,   5.2380,  33.1038, 8.3330e+03,   803,  1.38376 
  170,   3.4810, -40.7025,  26.1540,  10.1352, 101.3894,   4.3540,   2.8702,   4.8078,  34.6560, 8.0177e+03,   803,  1.34637 
